"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Institution.PhoneNumber","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Investigator.FirstName.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"11",11,"Atmospheric Large-Scale Dynamics","09/01/1970","02/29/1976",326600,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","08/28/1970","02/11/1975",6900145,"Ferdinand","Baer","09/01/1970","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor",481091274,"3003 South State St. Room 1062","United States","Michigan","MI",NA,NA,NA,NA,7347636438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Turblence Dynamics and Predictability","05/01/1970","04/30/1971",15000,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","05/07/1970","05/07/1970",6900147,"A.","Wiin-Nielsen","05/01/1970","Principal Investigator","Individual Award","Baltimore",21201,NA,"United States","Maryland","MD","Norman","Wagner","05/01/1970","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Diffusion and Conduction in Colloidal Suspensions","02/15/1970","07/31/1977",113800,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","02/06/1970","12/27/1973",6900158,"Henry","DATA NOT AVAILABLE","02/15/1970","Co-Principal Investigator","University of North Carolina at Chapel Hill","CHAPEL HILL",275991350,"104 AIRPORT DR STE 2200","United States","North Carolina","NC",NA,"Thomas","02/15/1970","Principal Investigator",9199663411,1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Catabolite Repression in Bacteria","12/01/1968","08/31/1972",40000,"Standard Grant",8000000,"Directorate for Biological Sciences","Directorate for Biological Sciences","name not available","12/06/1968","12/06/1968",6900168,"Howard","Rickenberg","12/01/1968","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140,"MOLECULAR & GENETIC BIOSCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Differential Electronystagmographic Responses From Otolith And Semicircular Canal Vestibular Systems","02/01/1969","01/31/1971",38400,"Standard Grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","02/04/1969","02/04/1969",6900170,NA,"DATA NOT AVAILABLE","02/01/1969","Principal Investigator","Cedars-Sinai Medical Center","West Hollywood",900481804,"8700 Beverly Boulevard","United States","California","CA",NA,NA,NA,NA,3238666942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"Effect of Denervation on Muscle Membrane Proteins","02/01/1969","01/31/1971",50800,"Standard Grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","01/17/1969","01/17/1969",6900176,NA,"DATA NOT AVAILABLE","02/01/1969","Principal Investigator","Harvard University","Cambridge",21385366,"1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,6174955501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Collaborative Research in Enzyme Induction By Chlorinated Hydrocarbons in Birds- Its Ecological Significance","06/01/1969","05/31/1971",65000,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","06/04/1969","06/04/1969",6900206,"Harold","Olcott","06/01/1969","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,5106428109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Experimental Invertebrate Zoology and Experimental Marine Botany","06/01/1969","05/31/1970",60000,"Standard Grant",6040301,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","06/24/1969","06/24/1969",6900212,"H.","Steinbach","06/01/1969","Principal Investigator","Marine Biological Laboratory","WOODS HOLE",25431015,"7 M B L ST","United States","Massachusetts","MA",NA,NA,NA,NA,5085483705,1650,"BIOLOGICAL OCEANOGRAPHY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"American Tables Committee For Naples Zoological Station","12/19/1968","12/31/1968",1177,"Standard Grant",8010000,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","12/19/1968","12/19/1968",6900213,"John","Olive","12/19/1968","Principal Investigator","American Institute of Biological Sciences","McLean",221013926,"1313 Dolley Madison Blvd.","United States","Virginia","VA",NA,NA,NA,NA,7036742500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Studies of Sulfur Metabolism in Algae","01/21/1969","01/31/1970",31800,"Standard Grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","01/21/1969","01/21/1969",6900215,"Jerome","Schiff","01/21/1969","Principal Investigator","Brandeis University","WALTHAM",24532728,"415 SOUTH ST MAILSTOP 116","United States","Massachusetts","MA",NA,NA,NA,NA,7817362121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"Signal Detection, Masking and Intensity Discrimination","06/01/1969","05/31/1972",58600,"Continuing grant",8090200,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","04/18/1969","04/18/1969",6900253,"David","Raab","06/01/1969","Principal Investigator","CUNY Brooklyn College","Brooklyn",112102889,"Office of Research & Sponsored P","United States","New York","NY",NA,NA,NA,NA,7189515622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"Comparative Studies of Protein Structure","04/01/1969","03/31/1970",43700,"Continuing grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","03/27/1969","03/27/1969",6900294,"Charles","Sibley","04/01/1969","Principal Investigator","Yale University","New Haven",65208327,"Office of Sponsored Projects","United States","Connecticut","CT",NA,NA,NA,NA,2037854689,1122,"SYSTEMATIC BIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Eighth International Congress of Biochemistry, Switzerland, September 1970","03/15/1970","03/31/1971",10000,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","03/26/1970","03/26/1970",6900302,"Robert","Harte","03/15/1970","Principal Investigator","American Society of Biolchemistry and Molecular Biology","Bethesda",208143996,"9650 Rockville Rike","United States","Maryland","MD",NA,NA,NA,NA,3015307145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Expression of the Vermillion Locus During 'drosophila Melanogaster' Development","04/18/1969","04/30/1970",6000,"Standard Grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","04/18/1969","04/18/1969",6900321,"Donald","Kimmel","04/18/1969","Principal Investigator","Brown University","Providence",29129002,"BOX 1929","United States","Rhode Island","RI",NA,NA,NA,NA,4018632777,1110,"CELLULAR & PHYSIOLOGICAL BIOSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Neurological Basis of Behavior of the Blowfly","11/01/1969","10/31/1970",16700,"Continuing grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","04/29/1969","04/29/1969",6900323,"Vincent","Dethier","11/01/1969","Principal Investigator","Princeton University","Princeton",85442020,"Off. of Research & Proj. Admin.","United States","New Jersey","NJ",NA,NA,NA,NA,6092583090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"Experimental and Simulation Study of Ecogenetic Processes InLaboratory Insect Populations","09/01/1969","02/28/1977",140300,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/13/1969","07/31/1975",6900343,"Robert","Sokal","09/01/1969","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,"WEST 5510 FRK MEL LIB","United States","New York","NY",NA,NA,NA,NA,6316329949,1128,"POP & COMMUNITY ECOL CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Pesticide, Parasite, Energetic and Behavioral Interactions","10/01/1969","06/30/1976",122900,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/22/1969","10/03/1975",6900386,"Robert","Robel","10/01/1969","Principal Investigator","Kansas State University","MANHATTAN",665061103,"2 FAIRCHILD HALL","United States","Kansas","KS",NA,NA,NA,NA,7855326804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"Metal Ion Interactions With Compounds of Biological Interest","07/17/1969","07/31/1970",29000,"Continuing grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","07/17/1969","07/17/1969",6900405,"R.Bruce","Martin","07/17/1969","Principal Investigator","University of Virginia Main Campus","CHARLOTTESVILLE",229044195,"P.O. BOX 400195","United States","Virginia","VA",NA,NA,NA,NA,4349244270,1152,"BIOPHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"Annual Survey of Industrial Research and Development in American Industry (Covering the Period 4-1-69 Thru 3-31-70)","04/21/1969","06/30/1973",536500,"Interagency Agreement",4030103,"Direct For Social, Behav & Economic Scie","National Center For S&E Statistics","name not available","04/21/1969","03/02/1973",6900426,"Jeremy","Taylor","04/21/1969","Principal Investigator","Bureau of the Census","Washington",20233,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"U.S.N.S. 'eltanin' Satellite Navigation System","03/01/1969","09/30/1973",85000,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/19/1969","10/01/1972",6900427,"J.","Rice","03/01/1969","Principal Investigator","Department of Navy Naval Ship Engineering Center","Washington",20360,NA,"United States","District of Columbia","DC","Rudolf","Raff","03/01/1969","Co-Principal Investigator",NA,5121,"BIOLOGY (RESOURCES)","John","Bradbury","03/01/1969","Co-Principal Investigator","DATA NOT AVAILABLE","03/01/1969","Co-Principal Investigator","DATA NOT AVAILABLE","03/01/1969","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"Meteorological Support of Deep-Sea Drilling Operations","05/01/1969","09/30/1980",1589875,"Contract Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/30/1969","01/22/1980",6900428,"Bernard","Zavos","05/01/1969","Principal Investigator","Department of Commerce","Arlington",22201,"Ocean.US 2300 Clarendon Blvd.","United States","Virginia","VA",NA,NA,NA,NA,7035880851,5710,"DEEP SEA DRILLING ACTIVITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,"Other Applications NEC",42,"Geological Sciences",8240,"INTERNATIONAL PHASE OF OCEAN D",8253,"U.S.S.R. DEEP SEA DRILLING",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"Task Order For Support of the U.S. National Committee on Geochemistry","01/01/1969","03/31/1979",180020,"BOA/Task Order",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","01/17/1969","01/31/1979",6900431,"William","Petrie","01/01/1969","Principal Investigator","National Research Council","WASHINGTON",204180006,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"Task Order For Partial Support of U. S. Travel to the TwentySecond International Congress of Pure and Applied Chemistry,Sydney, Australia, August 20-27, 1969","02/01/1969","12/31/1969",40000,"BOA/Task Order",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","03/05/1969","03/05/1969",6900432,"Martin","Paul","02/01/1969","Principal Investigator","National Academy of Sciences","Washington",200012721,"500 FIFTH STREET NW","United States","District of Columbia","DC",NA,NA,NA,NA,2023342254,5931,"INTERNATIONAL INFO & ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"A Program to Stimulate the Development of Electrical Engineering Courses and Curricula to Include the Computer Sciences (C310 T. o. 161)","03/01/1969","05/31/1971",92300,"BOA/Task Order",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","03/20/1969","03/01/1972",6900433,"Newman","DATA NOT AVAILABLE","03/01/1969","Co-Principal Investigator","National Academy of Engineering","Washington",204180007,"2101 Constitution Ave NW","United States","District of Columbia","DC","Vaughn","DATA NOT AVAILABLE","03/01/1969","Co-Principal Investigator",2023938100,NA,NA,"John","Hall","03/01/1969","Principal Investigator","Rockney","03/01/1969","Co-Principal Investigator","Bradbury","03/01/1969","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"Task Order For Support For the Organization of the SeventEenth General Assembly of the International Union Of Biological Sciences, Washington, D. C., October 197","03/10/1969","01/31/1971",8770,"BOA/Task Order",3070000,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","03/10/1969","03/10/1969",6900434,"Michael","Decarlo","03/10/1969","Principal Investigator","National Academy of Sciences","Washington",200012721,"500 FIFTH STREET NW","United States","District of Columbia","DC",NA,NA,NA,NA,2023342254,5910,"COOPERATIVE SCIENCE PROGRAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"U.S. Activities in Radio Sciences For the InternatioNal Scientific Radio Union","06/01/1969","09/30/1969",4200,"BOA/Task Order",6020000,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","05/01/1969","05/01/1969",6900435,"Hugh","Odishaw","06/01/1969","Principal Investigator","National Research Council","WASHINGTON",204180006,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"U.S. - Brazilian Program For Brazilian Developmentof Post GrAduate Research in Chemistry","06/01/1969","05/31/1972",151400,"BOA/Task Order",1090000,"Office Of The Director","Office Of Internatl Science &Engineering","name not available","06/04/1969","05/26/1972",6900436,"Victor","Rabinowitch","06/01/1969","Principal Investigator","National Academy of Sciences","Washington",200012721,"500 FIFTH STREET NW","United States","District of Columbia","DC",NA,NA,NA,NA,2023342254,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"Task Order For Support of a Ground-Based Solar- Terrestrial Research Study","05/01/1969","06/30/1970",31700,"BOA/Task Order",6020100,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","05/20/1969","06/30/1969",6900437,"Vaughn","DATA NOT AVAILABLE","05/01/1969","Co-Principal Investigator","National Research Council","WASHINGTON",204180006,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC","W.","DATA NOT AVAILABLE","05/01/1969","Co-Principal Investigator",NA,NA,NA,"John","Rockney","05/01/1969","Co-Principal Investigator","Bartley","05/01/1969","Principal Investigator","Bradbury","05/01/1969","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"Conference For Educators on Systems For Handling Chemical Information","06/01/1969","05/31/1970",13500,"BOA/Task Order",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","06/04/1969","06/04/1969",6900438,"Martin","Paul","06/01/1969","Principal Investigator","National Academy of Sciences","Washington",200012721,"500 FIFTH STREET NW","United States","District of Columbia","DC",NA,NA,NA,NA,2023342254,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"To Attend- 'eighth International Congress of the International Union For Quaternary Research', Paris, France,August 30 - September 5, 1969","06/01/1969","09/30/1969",10000,"BOA/Task Order",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/04/1969","06/04/1969",6900440,"Jeremy","Taylor","06/01/1969","Principal Investigator","National Academy of Sciences","Washington",200012721,"500 FIFTH STREET NW","United States","District of Columbia","DC",NA,NA,NA,NA,2023342254,5931,"INTERNATIONAL INFO & ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"Task Order For Support of the Study of Priorities in Astronomy","06/30/1969","06/30/1973",200000,"BOA/Task Order",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/30/1969","09/01/1971",6900442,"Robert","DATA NOT AVAILABLE","06/30/1969","Co-Principal Investigator","National Research Council","WASHINGTON",204180006,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC","Vaughn","DATA NOT AVAILABLE","06/30/1969","Co-Principal Investigator",NA,NA,NA,"John","Green","06/30/1969","Principal Investigator","Rockney","06/30/1969","Co-Principal Investigator","Bradbury","06/30/1969","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
