"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Organization.Division.LongName","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.ProgramReference.Code.2","Award.ProgramReference.Text.2","Award.Investigator.FirstName.3","Award.ProgramElement.Code.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Text.5","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Code.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.ProgramElement.Code.19","Award.ProgramElement.Code.20","Award.ProgramElement.Code.21","Award.ProgramElement.Code.22","Award.ProgramElement.Code.23","Award.ProgramElement.Code.24","Award.ProgramElement.Code.25","Award.ProgramElement.Code.26","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.6"
"11",11,"Assimilation of Lead, Cadmium and Thallium By Marine Organisms With Consideration to Biological Effects","03/15/1974","08/31/1977",149300,"Standard Grant",6040300,"Directorate For Geosciences","name not available","04/03/1974","06/02/1976",7400067,"George","Somero","03/15/1974","Co-Principal Investigator","University of California-San Diego Scripps Inst of Oceanography","LA JOLLA",920930210,8585341293,"8602 La Jolla Shores Dr","United States","California","CA","Division Of Ocean Sciences",5610,"ENVIRONMENTAL QUALITY","Tsaihwa","Chow","03/15/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"The Combustion Chemistry of Al and Fe in Coal-Fired Mhd Generators","05/01/1975","04/30/1976",25000,"Standard Grant",7020000,"Directorate For Engineering","name not available","05/16/1975","05/16/1975",7400077,"William","Miller","05/01/1975","Principal Investigator","AeroChem Research Laboratories, Inc.","Princeton",85420012,6099217070,"P. O. Box 12","United States","New Jersey","NJ","Div Of Chem, Bioeng, Env, & Transp Sys",1407,"Combustion & Fire Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Mode Conversion at the Lower Hybrid Resonance in HomogeneousMagnetoplasmas","01/15/1974","09/30/1976",61400,"Standard Grant",3030502,"Direct For Mathematical & Physical Scien","name not available","01/25/1974","06/25/1976",7400079,NA,"DATA NOT AVAILABLE","01/15/1974","Principal Investigator","University of Massachusetts Amherst","Hadley",10359450,4135450698,"Research Administration Building","United States","Massachusetts","MA",NA,1452,"POWER SYSTEMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Aspects of the Closed-Loop Control of Chemical Engineering ANd Environmental Processes","04/15/1974","04/30/1977",49000,"Standard Grant",7020000,"Directorate For Engineering","name not available","04/01/1974","09/29/1976",7400082,"Leon","Lapidus","04/15/1974","Principal Investigator","Princeton University","Princeton",85442020,6092583090,"Off. of Research & Proj. Admin.","United States","New Jersey","NJ","Div Of Chem, Bioeng, Env, & Transp Sys",1402,"BIOCHEMICAL & BIOMASS ENG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"High Degree Applied Network Synthesis","05/01/1974","04/30/1974",0,"Standard Grant",5040003,"Direct For Computer & Info Scie & Enginr","name not available",NA,NA,7400084,"Dov","Hazony","05/01/1974","Principal Investigator","Case Western Reserve University","CLEVELAND",441064901,2163684510,"Nord Hall, Suite 615","United States","Ohio","OH","Division of Microelectronic Information Processing Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"Activity of Cytochrome Analogs in Heart Mitochondria","07/01/1974","12/31/1976",44000,"Continuing grant",8070400,"Direct For Biological Sciences","name not available","06/03/1974","05/01/1975",7400090,"Paul","Warme","07/01/1974","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA","Div Of Molecular and Cellular Bioscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Management of Research Computing Resources","07/01/1974","12/31/1976",140100,"Standard Grant",6070000,"Directorate For Geosciences","name not available","06/20/1974","06/20/1974",7400097,"Michael","Ensen","07/01/1974","Principal Investigator","University of Rochester","Rochester",146270140,5852754031,"518 HYLAN, RC BOX 270140","United States","New York","NY",NA,2700,NA,"Michael","Jensen","07/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"A Numerical Investigation of One-Step Iterative Methods For The Solution of Nonlinear Equations","05/01/1974","10/31/1976",31300,"Standard Grant",5010001,"Direct For Computer & Info Scie & Enginr","name not available","04/18/1974","04/18/1974",7400102,"Steve","McCormick","05/01/1974","Principal Investigator","Colorado State University","Fort Collins",805232002,9704916355,"601 S Howes St","United States","Colorado","CO","Division of Computing and Communication Foundations",2811,"THEORETICAL COMPUTER SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Hydraulic Mechanism of Aufeis Formation","05/01/1974","06/30/1977",87600,"Continuing grant",3030301,"Direct For Mathematical & Physical Scien","name not available","05/02/1974","01/26/1976",7400115,"Robert","Carlson","05/01/1974","Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks",997757880,9074747301,"West Ridge Research Bldg 008","United States","Alaska","AK",NA,1431,"CIVIL & ENVIRONMENTAL TEC",NA,NA,NA,NA,1435,"WATER RES, URBAN & ENVIRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Statistical Hydrodynamics","09/01/1975","02/28/1978",44100,"Standard Grant",7020000,"Directorate For Engineering","name not available","08/18/1975","08/18/1975",7400124,"Philip","Saffman","09/01/1975","Principal Investigator","California Institute of Technology","PASADENA",911250600,6263956219,"1200 E California Blvd","United States","California","CA","Div Of Chem, Bioeng, Env, & Transp Sys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"Stability of Polymer Processing Operations","06/01/1974","01/01/1900",55000,"Standard Grant",7020000,"Directorate For Engineering","name not available","06/06/1974","06/06/1974",7400126,"Arthur","Metzner","06/01/1974","Co-Principal Investigator","University of Delaware","Newark",197162553,3028312136,"210 Hullihen Hall","United States","Delaware","DE","Div Of Chem, Bioeng, Env, & Transp Sys",1402,"BIOCHEMICAL & BIOMASS ENG","Morton","Denn","06/01/1974","Principal Investigator",NA,NA,"Byron","Anshus","06/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"Optical Communication Systems For Improved Low Visibility Communication","01/15/1974","12/31/1978",328600,"Standard Grant",5040003,"Direct For Computer & Info Scie & Enginr","name not available","01/25/1974","07/21/1977",7400131,"David","Epstein","01/15/1974","Co-Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA","Division of Microelectronic Information Processing Systems",1453,"COMMU SYSTEMS & SIGNAL PROCESS","Robert","Kennedy","01/15/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Experimental Evaluation of a New Physically-Based Statistical Fracture Theory","11/01/1974","04/30/1977",68000,"Standard Grant",7080300,"Directorate For Engineering","name not available","10/24/1974","10/24/1974",7400138,"William","Knapp","11/01/1974","Principal Investigator","University of California-Los Angeles","LOS ANGELES",900951406,3107940102,"10889 Wilshire Boulevard","United States","California","CA",NA,1434,"SOLID MECHANICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Nebular and Interstellar Infrared Line Emission","11/01/1974","03/31/1978",30500,"Standard Grant",3020400,"Direct For Mathematical & Physical Scien","name not available","10/30/1974","08/15/1977",7400146,"Roger","Knacke","11/01/1974","Principal Investigator","SUNY at Stony Brook","Stony Brook",117940001,6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY","Division Of Astronomical Sciences",1215,"STELLAR ASTRONOMY & ASTROPHYSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Lactate Heterotrophy and Photoheterotrophy in Estauarine Diatoms","01/01/1974","06/30/1978",157200,"Standard Grant",6040301,"Directorate For Geosciences","name not available","12/03/1973","12/15/1975",7400148,"W. Marshall","Darley","01/01/1974","Principal Investigator","University of Georgia","Athens",306021589,7065425939,"310 East Campus Rd","United States","Georgia","GA","Division Of Ocean Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"Field and Isotopic Studies of the Older Geologic History of The Southwestern Margin of North America","11/01/1973","07/31/1977",281500,"Standard Grant",6030002,"Directorate For Geosciences","name not available","10/23/1973","08/03/1977",7400155,"Leon","Silver","11/01/1973","Principal Investigator","California Institute of Technology","PASADENA",911250600,6263956219,"1200 E California Blvd","United States","California","CA","Division Of Earth Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Petrogenetic Links Between Carbonatites and Kimberlites","02/01/1974","02/28/1977",83900,"Standard Grant",6030002,"Directorate For Geosciences","name not available","01/25/1974","02/05/1976",7400157,"Peter","Wyllie","02/01/1974","Principal Investigator","University of Chicago","Chicago",606375418,7737028669,"5801 South Ellis Avenue","United States","Illinois","IL","Division Of Earth Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
