"","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.EmailAddress","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.EmailAddress.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.EmailAddress.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.EmailAddress.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramElement.Code.5","Award.ProgramElement.Text.5","Award.ProgramElement.Code.6","Award.ProgramElement.Text.6","Award.ProgramElement.Code.7","Award.ProgramElement.Text.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.8","Award.ProgramElement.Code.9","Award.ProgramElement.Text.9","Award.ProgramElement.Code.10","Award.ProgramElement.Text.10","Award.ProgramElement.Code.11","Award.ProgramElement.Text.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.12","Award.ProgramElement.Code.13","Award.ProgramElement.Text.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4"
"11","Support of Oceanographic Equipment","03/01/1975","06/30/1977","69400","Standard Grant","06040200","Directorate For Geosciences","Division Of Ocean Sciences","name not available","02/20/1975","01/12/1976","7500101","Manik","Talwani","03/01/1975","Principal Investigator","Columbia University Lamont Doherty Earth Observatory","Palisades","10964","9143592900","Rt 9W","United States","New York","NY",NA,NA,"manik@rice.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Support of Oceanographic Equipment","01/01/1975","06/30/1976","9100","Standard Grant","06040200","Directorate For Geosciences","Division Of Ocean Sciences","name not available","01/24/1975","01/24/1975","7500102","Harold","Screen Jr","01/01/1975","Principal Investigator","Johns Hopkins University","Baltimore","212182608","4105168668","3400 N CHARLES ST","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Support of Oceanographic Equipment","01/01/1975","06/30/1977","151100","Standard Grant","06040200","Directorate For Geosciences","Division Of Ocean Sciences","name not available","02/05/1975","01/29/1976","7500107","James","Gibbons","01/01/1975","Principal Investigator","University of Miami Rosenstiel School of Marine&Atmospheric Sci","KEY BISCAYNE","331491031","3054214089","4600 RICKENBACKER CSWY","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Molecular Interactions in Polar Gases and Mixtures","12/01/1974","11/30/1978","75000","Continuing grant","03090106","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","12/19/1974","04/06/1977","7500114","Robert","Cole","12/01/1974","Principal Investigator","Brown University","Providence","029129002","4018632777","BOX 1929","United States","Rhode Island","RI",NA,NA,NA,NA,NA,"1916","STRUCTURAL CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Perturbation Methods For Correlating Properties of Polyatomic Liquid Mixtures","11/01/1974","04/30/1977","59700","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","11/26/1974","11/26/1974","7500115","James","Dufty","11/01/1974","Co-Principal Investigator","University of Florida","GAINESVILLE","326112002","3523923516","1 UNIVERSITY OF FLORIDA","United States","Florida","FL","Keith","Gubbins","dufty@phys.ufl.edu","11/01/1974","Principal Investigator",NA,NA,NA,NA,"keg@ncsu.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Support For the Preparation of the Quadrennial Report to TheInternational Union of Geodesy and Geophysics (Iugg)","01/01/1975","04/30/1976","0","Standard Grant","06000009","Directorate For Geosciences","Directorate For Geosciences","name not available",NA,NA,"7500125","A. F.","Spilhaus, Jr.","01/01/1975","Principal Investigator","American Geophysical Union","Washington","200099123","2024626900","2000 FLORIDA AVE NW","United States","District of Columbia","DC",NA,NA,"fspilhaus@agu.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","A Theoretical Investigation of Atomic Scattering Processes","06/01/1975","11/30/1977","56600","Standard Grant","03010500","Direct For Mathematical & Physical Scien","Division Of Physics","name not available","05/28/1975","06/01/1976","7500131","Larry","Spruch","06/01/1975","Co-Principal Investigator","New York University","NEW YORK","100121019","2129982121","70 WASHINGTON SQUARE S","United States","New York","NY","Leonard","Rosenberg","ls3@is.nyu.edu","06/01/1975","Principal Investigator","1276","OTHER THEORETICAL",NA,NA,"len.rosenberg@nyu.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Ocean Thermal Energy Converson: Resource Assessment and Environmental Impact For Proposed Puerto Rico Site","05/01/1975","10/31/1976","0","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available",NA,NA,"7500145","Donald","Atwood","05/01/1975","Principal Investigator","University of Puerto Rico Mayaguez","Mayaguez","006819000","7878312065","Call Box 9000","United States","Puerto Rico","PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Potassium-Argon Ages of Some Hawaiian Islands: the Relationship to Mid-Plate Tectonics","06/01/1975","11/30/1978","50800","Standard Grant","06030002","Directorate For Geosciences","Division Of Earth Sciences","name not available","04/17/1975","10/17/1977","7500151","John","Naughton","06/01/1975","Co-Principal Investigator","University of Hawaii","HONOLULU","968222234","8089567800","2440 Campus Road, Box 368","United States","Hawaii","HI","Gordon","MacDonald",NA,"06/01/1975","Principal Investigator","1541","GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","K/Ar Age Framework For the Plio-Pleistocene Central Afar Sedimentary Group, Ethiopia","03/01/1975","03/31/1978","26500","Standard Grant","06030003","Directorate For Geosciences","Division Of Earth Sciences","name not available","06/03/1976","08/04/1977","7500152","James","Aronson","03/01/1975","Principal Investigator","Case Western Reserve University","CLEVELAND","441064901","2163684510","Nord Hall, Suite 615","United States","Ohio","OH",NA,NA,"James.Aronson@Dartmouth.EDU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Characterization of Contaminants in Oil Shale Residuals and The Potential For Their Management to Meet Environmental Quality Standards","03/15/1975","01/31/1978","318900","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","04/02/1975","09/02/1977","7500175","S. Josef","Schmidt-Colleru","03/15/1975","Principal Investigator","University of Denver Research Institute","Denver","80210",NA,NA,"United States","Colorado","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Heat Extraction From Hot, Dry Rock Masses","02/01/1975","05/31/1978","444500","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","01/17/1975","12/05/1977","7500187","Johannes","Weertman","02/01/1975","Principal Investigator","Northwestern University","Evanston","602013149","8474913003","1801 Maple Ave.","United States","Illinois","IL",NA,NA,"j-weertman2@northwestern.edu",NA,NA,"5558","GEOTHERMAL ENERGY","5565","RESOURCE EXPLOR & ASSESS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Alternatives to Institutional Care For the Elderly","02/15/1975","10/31/1978","152700","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","02/27/1975","09/30/1977","7500190","John","O'Brien","02/15/1975","Principal Investigator","Portland State University","Portland","972070751","5037259900","1600 SW 4th Ave","United States","Oregon","OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Behavior of Reinforced Concrete Frame Elements Under BiaxialLateral Loadings","10/15/1975","05/31/1978","392700","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","10/28/1975","04/20/1977","7500192","James","Jirsa","10/15/1975","Principal Investigator","University of Texas at Austin","Austin","787121532","5124716424","101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,"jirsa@uts.cc.utexas.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Contract For Energy Delivery, Ocean Thermal Energy Conver- Sion (C1019)","05/08/1975","06/30/1976","49650","Contract","07000000","Directorate For Engineering","Directorate For Engineering","name not available","05/22/1975","05/22/1975","7500215","Bette","Winer","05/08/1975","Principal Investigator","Arthur D Little Inc","Cambridge","021402390",NA,"Acorn Park","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","In-Process Optical Gauging For Numerical Machine Tool Control and Automated Processes","04/15/1975","11/30/1978","164500","Standard Grant","07030000","Directorate For Engineering","Div Of Civil, Mechanical, & Manufact Inn","name not available","05/02/1975","08/14/1978","7500216","Harry","Mergler","04/15/1975","Principal Investigator","Case Western Reserve University","CLEVELAND","441064901","2163684510","Nord Hall, Suite 615","United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","A Regional Trading System in an Underdeveloped Area","01/01/1975","06/30/1978","31000","Standard Grant","04040400","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","12/12/1974","06/25/1976","7500221","Stuart","Plattner","01/01/1975","Principal Investigator","University of Missouri-Saint Louis","SAINT LOUIS","631214400","3145165897","ONE UNIVERSITY BLVD","United States","Missouri","MO",NA,NA,NA,NA,NA,"1310","ANTHROPOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
