"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Code.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.1","Award.ProgramElement.Code.4","Award.ProgramElement.Text.2","Award.ProgramElement.Code.5","Award.ProgramElement.Text.3","Award.ProgramElement.Code.6","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.ProgramElement.Code.7","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"11",11,"Contract For Support of the Geophysics Research Board (Transferred From Gp888 to C310, T. o. 49)","06/30/1967","12/31/1978",2668355,"BOA/Task Order",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/01/1964","06/20/1978",6300014,"Pembroke","Hart","06/30/1967","Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",1500,"ENVIRONMENTAL SCIENCES-RESERVE",1521,1522,1523,"AERONOMY",1543,"PHYSICAL METEOROLOGY",2405,"SOLAR-TERRESTRIAL",2552,NA,NA,NA,NA,NA,8670,"GEOPHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Support of Scientific Committee on Oceanic Research (C310- Task Order No. 68)","06/30/1967","12/03/1977",59000,"BOA/Task Order",6040300,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","10/30/1963","06/03/1976",6300015,"Richard","Vetter","06/30/1967","Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",1610,"PHYSICAL OCEANOGRAPHY",1611,NA,NA,"OCEAN PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Contract For-Transportation Services Related to Grantee Travel in the U.S. Antarctic Research Program (C334)","06/30/1967","05/31/1967",831300,"Contract",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/30/1967","09/27/1977",6300016,"Lockhart","Mummery","06/30/1967","Principal Investigator","American Express Company","Washington",20005,NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Films in Mathematics For Elementary School Teachers (Ge2650)","09/15/1963","07/31/1969",276490,"Standard Grant",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","09/15/1963","09/15/1963",6300018,"Jeremy","Taylor","09/15/1963","Principal Investigator","National Council of Teachers of Mathematics","Reston",201911502,7036209840,"1906 Association Dr","United States","Virginia","VA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ruddy","09/15/1963","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,"Frank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Science Curriculum Improvement Study (Ge2914)","09/15/1963","12/31/1977",4286235,"Standard Grant",5010200,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","09/15/1963","01/28/1976",6300019,"Robert","DATA NOT AVAILABLE","09/15/1963","Co-Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karplus","09/15/1963","Principal Investigator",NA,NA,NA,NA,NA,NA,"Felix","Rimberg","09/15/1963","Co-Principal Investigator","Mark","Wimbush","09/15/1963","Co-Principal Investigator","Franz","Frederick","09/15/1963","Co-Principal Investigator",NA,NA,NA,NA,NA,NA
"16",16,"A Social Science Film Program (Ge3430)","11/15/1963","11/30/1965",0,"Standard Grant",5010000,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available",NA,NA,6300020,"Jeremy","Taylor","11/15/1963","Principal Investigator","Education Development Center","Waltham",24538313,6176182227,"43 Foundry Avenue","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Course Content Improvement in Social Sciences For High School (Ge5186)","05/15/1964","08/31/1971",2507640,"Standard Grant",5010200,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","05/15/1964","01/28/1976",6300021,"Jeremy","Taylor","05/15/1964","Principal Investigator","American Sociological Assoc","Washington",200052529,2023839005,"1430 K Street, NW","United States","District of Columbia","DC",7311,"CAR SEC RES PERS WKSH LPY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"High School Geography Project (Ge5248)","04/15/1964","03/31/1964",0,"Standard Grant",5010200,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available",NA,NA,6300022,"Jeremy","Taylor","04/15/1964","Principal Investigator","Association of American Geographers","Washington",200093104,2022341450,"1710 16th St. NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Study Into the Dissemination of Scientific and Technical Information in the U.S.S.R. (Gn124)","05/13/1963","04/30/1963",0,"Standard Grant",5020000,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","Oscar Garcia",NA,NA,6300023,"Jeremy","Taylor","05/13/1963","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Gall Development and Behavior (Gb762)","03/15/1963","09/30/1965",15000,"Standard Grant",8000000,"Directorate for Biological Sciences","Directorate for Biological Sciences","name not available","03/15/1963","03/15/1963",6300027,"May Beth","Givan","03/15/1963","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,1110,"CELLULAR & PHYSIOLOGICAL BIOSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"Astrometric Research in the Southern Hemesphere","05/21/1963","07/31/1968",70400,"Standard Grant",3020200,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","05/21/1963","01/01/1900",6300029,NA,"DATA NOT AVAILABLE","05/21/1963","Principal Investigator","National Research Council","WASHINGTON",204180006,NA,"2101 CONSTITUTION AVE NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"BASIC ORDERING AGREEMENT CONTRACT NSF-C310 WITH THE NATIONALACADEMY OF SCIENCES (C310)","05/21/1963","05/31/1963",0,"BOA/Task Order",NA,NA,NA,"name not available","05/21/1963","05/21/1963",6300057,NA,NA,"05/21/1963","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE","DATA NOT AVAILABLE"
"23",23,"A Series of Educational Films About the Earth and Sea","09/01/1962","08/31/1964",363400,"Standard Grant",5020300,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","11/30/1962","09/08/1969",6300058,NA,"DATA NOT AVAILABLE","09/01/1962","Principal Investigator","Columbia University","NEW YORK",100276902,2128546851,"2960 Broadway","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Contract For Special Studies of Research Needs","06/30/1967","09/30/1979",1736240,"BOA/Task Order",1030801,"Office Of The Director",NA,"name not available","09/01/1963","05/23/1979",6300062,"Robert","Green","06/30/1967","Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",4700,"MICROELECT INFO PROCESS SYS-RE",8900,8920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Contract For Filmstrips in Oceanography (TransferrEd From G25206 to C310, T.O. 35)","06/30/1967","12/31/1971",44120,"BOA/Task Order",5020100,"Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","06/30/1967","06/30/1967",6300063,"Arthur","Vetter","06/30/1967","Co-Principal Investigator","National Academy of Sciences","Washington",200012721,2023342254,"500 FIFTH STREET NW","United States","District of Columbia","DC",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vetter","06/30/1967","Principal Investigator",NA,NA,NA,NA,NA,NA,"Betty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
