"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.1","Award.Investigator.FirstName.2","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.FirstName.3","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramElement.Code.3","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.4","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Text.5","Award.ProgramElement.Code.7","Award.ProgramElement.Text.6","Award.ProgramElement.Code.8","Award.ProgramElement.Text.7","Award.ProgramElement.Code.9","Award.ProgramElement.Text.8","Award.ProgramElement.Code.10","Award.ProgramElement.Text.9","Award.ProgramElement.Code.11","Award.ProgramElement.Text.10","Award.ProgramElement.Code.12","Award.ProgramElement.Text.11","Award.ProgramElement.Code.13","Award.ProgramElement.Text.12","Award.ProgramElement.Code.14","Award.ProgramElement.Text.13","Award.ProgramElement.Code.15","Award.ProgramElement.Text.14","Award.ProgramElement.Code.16","Award.ProgramElement.Text.15","Award.ProgramElement.Code.17","Award.ProgramElement.Text.16","Award.ProgramElement.Code.18","Award.ProgramElement.Text.17","Award.ProgramElement.Code.19","Award.ProgramElement.Text.18","Award.ProgramElement.Code.20","Award.ProgramElement.Text.19","Award.ProgramElement.Code.21","Award.ProgramElement.Code.22","Award.ProgramElement.Code.23","Award.ProgramElement.Code.24","Award.ProgramElement.Code.25","Award.ProgramElement.Code.26","Award.ProgramElement.Code.27","Award.ProgramElement.Text.20","Award.ProgramElement.Code.28","Award.ProgramElement.Text.21","Award.ProgramElement.Code.29","Award.ProgramElement.Text.22","Award.ProgramElement.Code.30","Award.ProgramElement.Text.23","Award.ProgramElement.Code.31","Award.ProgramElement.Text.24","Award.ProgramElement.Code.32","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"11",11,"Operation of Insect Collections of the Museum of ComparativeZoology","01/01/1975","06/30/1980",480971,"Continuing grant",8010209,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","01/13/1975","11/16/1978",7200093,"Edward","Wilson","01/01/1975","Principal Investigator","Harvard University","Cambridge",21385366,6174955501,"1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Operational Support of the Drosophila Species Collection","04/01/1974","09/30/1975",59400,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","01/16/1974","05/12/1975",7200096,"Richard","Richardson","04/01/1974","Principal Investigator","University of Texas at Austin","Austin",787121532,5124716424,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Operational Support of the Herpetological Collections of TheMuseum of Comparative Zoology","06/01/1975","11/30/1980",253612,"Continuing grant",8010209,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","01/22/1975","04/17/1979",7200099,"Ernest","Williams","06/01/1975","Principal Investigator","Harvard University","Cambridge",21385366,6174955501,"1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Operational Support For the Collection of Birds in the Museum of Vertebrate Zoology","03/01/1975","08/31/1980",270350,"Continuing grant",8010209,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","03/10/1975","03/15/1979",7200102,"Ned","Johnson","03/01/1975","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Trophic and Community Structure Changes in a New England Pond","09/01/1973","07/31/1977",40100,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/05/1973","03/16/1977",7200116,"Donald","Whitehead","09/01/1973","Principal Investigator","Indiana University","Bloomington",474013654,8128550516,"509 E 3RD ST","United States","Indiana","IN",1128,"POP & COMMUNITY ECOL CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"Exploration For Industrial Applications of Electrets","03/06/1974","07/31/1979",50314,"Standard Grant",1090000,"Office Of The Director","Office Of Internatl Science &Engineering","name not available","03/06/1974","06/22/1976",7200154,"C.","Bhatnagar","03/06/1974","Principal Investigator","Maulana Azad College of Technology","Bhopal",NA,NA,NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Millimeter Microwave Spectroscopy of High Purity Metals","09/15/1973","08/31/1978",90500,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","07/25/1973","03/15/1976",7200181,"Gerald","Dunifer","09/15/1973","Principal Investigator","Wayne State University","Detroit",482023622,3135772424,"5057 Woodward","United States","Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Vortex Lines and Related Flow Phenomena in Superfluid Helium","08/01/1973","11/30/1978",106100,"Standard Grant",3070300,"Direct For Mathematical & Physical Scien","Division Of Materials Research","name not available","07/30/1973","05/04/1978",7200184,"James","Mehl","08/01/1973","Principal Investigator","University of Delaware","Newark",197162553,3028312136,"210 Hullihen Hall","United States","Delaware","DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Prediction of Earthquake Resistance of Structures","06/11/1974","11/30/1976",130700,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/11/1974","05/05/1975",7200219,"Rudolf","Drenick","06/11/1974","Principal Investigator","Polytechnic University of New York","Brooklyn",112013826,7182603360,"15 Metrotech Center","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Development and Evaluation of Aligned Ceramic-Matrix, Metal-Fiber Composite Structures For Mhd Generator Electrodes","07/01/1975","06/30/1977",80500,"Standard Grant",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","06/17/1975","12/21/1976",7200228,"Patrick","Hart","07/01/1975","Principal Investigator","Battelle Memorial Institute, Pacific Northwest National Lab","Richland",993541794,5093717608,"PO Box 999","United States","Washington","WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"Computer Systems Modeling, Measurement and Evaluation","01/01/1974","11/30/1978",261700,"Standard Grant",5010004,"Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","12/14/1973","06/01/1976",7200256,"Peter","Denning","01/01/1974","Co-Principal Investigator","Purdue University","West Lafayette",479072114,7654941055,"Young Hall","United States","Indiana","IN",NA,NA,"Rosen","01/01/1974","Principal Investigator","Schwetman","01/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,"Saul","Herbert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"A Study of Alluvial River Mechanics With Full-Scale VerificaTion on the Link Canals of Pakistan","04/01/1974","09/16/1977",204300,"Standard Grant",3030301,"Direct For Mathematical & Physical Scien",NA,"name not available","04/15/1974","03/16/1976",7200274,"Khalid","Mahmood","04/01/1974","Principal Investigator","Colorado State University","Fort Collins",805232002,9704916355,"601 S Howes St","United States","Colorado","CO",1431,"CIVIL & ENVIRONMENTAL TEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1435,"WATER RES, URBAN & ENVIRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Studies in Seafloor Engineering","04/01/1974","03/31/1976",85000,"BOA/Task Order",3030301,"Direct For Mathematical & Physical Scien",NA,"name not available","04/01/1974","11/20/1975",7200284,"B.","Kropp","04/01/1974","Principal Investigator","National Academy of Engineering","Washington",204180007,2023938100,"2101 Constitution Ave NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Spectra and Ionization of Faint Meteors","05/01/1974","05/31/1979",186300,"Standard Grant",3020400,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","04/25/1974","05/25/1978",7200321,"Curtis","Hemenway","05/01/1974","Principal Investigator","Dudley Observatory","Schenectady",123052209,5183827583,"100 Fuller Road","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Thallium in Organic Synthesis","09/01/1973","04/30/1977",95500,"Continuing grant",3090304,"Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","08/29/1973","10/29/1975",7200427,"Edward","Taylor","09/01/1973","Principal Investigator","Princeton University","Princeton",85442020,6092583090,"Off. of Research & Proj. Admin.","United States","New Jersey","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
