"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11"
"11",11,"Theory and Anomalies of Earth's Macroclimate","12/15/1970","03/31/1977",68800,"Standard Grant",6020000,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","12/17/1970","05/10/1976",7000181,"Anandu","Vernekar","12/15/1970","Principal Investigator","University of Maryland College Park","COLLEGE PARK","207425141",3014056269,"3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Geological and Geographical Problems of Urban and Rural AreaS of High Population Density","10/22/1970","10/31/1971",1000,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","09/25/1970","09/25/1970",7000182,NA,"DATA NOT AVAILABLE","10/22/1970","Principal Investigator","Association of Engineering Geologists","Abingdon","24210",NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Study of Ion-Ion Interactions in Seawater","06/01/1970","11/30/1970",2700,"Standard Grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","05/05/1970","05/05/1970",7000204,NA,"DATA NOT AVAILABLE","06/01/1970","Principal Investigator","University of Miami Rosenstiel School of Marine&Atmospheric Sci","KEY BISCAYNE","331491031",3054214089,"4600 RICKENBACKER CSWY","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Permian and Triassic Biostratigraphy of the Central Cordilleran Miogeosyncline","04/01/1971","03/31/1973",40200,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","01/27/1971","01/27/1971",7000211,"Calvin","Stevens","04/01/1971","Co-Principal Investigator","Ohio State University","Columbus","432101016",6146888735,"Office of Sponsored Programs","United States","Ohio","OH","James","Collinson","04/01/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Investigations of Particle Bombardment of the Polar Atmosphere","10/15/1970","03/31/1976",118400,"Standard Grant",6020203,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","09/29/1970","05/21/1975",7000224,"Robert","Brown","10/15/1970","Principal Investigator","University of California-Berkeley","BERKELEY","947045940",5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"Emplacement of Franciscan-Type Rocks and Origin of Related Mafic and Ultramafic Rocks","06/01/1970","11/30/1976",52300,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","05/13/1970","05/18/1976",7000232,"John","Maxwell","06/01/1970","Principal Investigator","University of Texas at Austin","Austin","787121532",5124716424,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Benthonic Foraminifera- a Clue to the Thermohaline Circula- Tion of the Atlantic Ocean For the Last 200,000 Years","09/01/1971","02/28/1977",132500,"Standard Grant",6040304,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","08/11/1971","02/12/1976",7000245,"James","Hays","09/01/1971","Co-Principal Investigator","Columbia University Lamont Doherty Earth Observatory","Palisades","10964",9143592900,"Rt 9W","United States","New York","NY","Andrew","McIntyre","09/01/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Feeding Ecology and Population Dynamics of Two Species of Marine Planktonic Copepods","09/15/1970","09/30/1974",95500,"Standard Grant",6040301,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","09/01/1970","09/15/1972",7000254,"Bruce","Frost","09/15/1970","Principal Investigator","University of Washington","Seattle","981950001",2065434043,"4333 Brooklyn Ave NE","United States","Washington","WA",NA,NA,NA,NA,1650,"BIOLOGICAL OCEANOGRAPHY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"Crust-Mantle Structure in Continental South America and Its Relation to Sea Floor Spreading","09/15/1970","06/30/1977",76300,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","09/17/1970","10/13/1976",7000257,NA,"DATA NOT AVAILABLE","09/15/1970","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK","168027000",8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"A Conference on Urban Environment- Planning a New Town's EnvIronment","09/01/1970","03/31/1972",17600,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","09/22/1970","09/22/1970",7000284,NA,"DATA NOT AVAILABLE","09/01/1970","Principal Investigator","American Institute of Professional Geologists","Denver","80228",NA,NA,"United States","Colorado","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"Trace Elements in Meteorites and the Age of the Solar System","02/15/1971","02/28/1977",146200,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","02/12/1971","09/12/1973",7000307,"M.","Abdel-Hameed","02/15/1971","Principal Investigator","University of Arkansas","FAYETTEVILLE","727011201",4795753845,"210 Administration Building","United States","Arkansas","AR",NA,NA,NA,NA,1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"Studies on the Circulation of the Gulf of Mexico and the Caribbean Sea","01/01/1971","05/31/1976",85300,"Standard Grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","12/10/1970","05/03/1974",7000312,"Takashi","Ichiye","01/01/1971","Principal Investigator","Texas A&M University Main Campus","College Station","778454375",9798626777,"400 Harvey Mitchell Pkwy South","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Developmental Control of Pigmentation in Mice","09/01/1970","08/31/1972",21000,"Standard Grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","06/18/1970","06/18/1970",7000323,"Jeremy","Taylor","09/01/1970","Principal Investigator","Rider University","Lawrenceville","086480400",6098965000,"P O Box 6400","United States","New Jersey","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"Biology of Pseudomonads and Blue-Green Algae","02/01/1970","07/31/1973",81400,"Standard Grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","01/16/1970","01/16/1970",7000354,NA,"DATA NOT AVAILABLE","02/01/1970","Principal Investigator","University of California-Berkeley","BERKELEY","947045940",5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Interactions of Model Peptides and Related Molecules With Their Environment","07/01/1970","11/29/1976",109000,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","05/07/1970","12/29/1975",7000396,"Charles","Swenson","07/01/1970","Principal Investigator","University of Iowa","IOWA CITY","522421320",3193352123,"2 GILMORE HALL","United States","Iowa","IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"Recombination and Gene Function in Fungi","01/01/1970","03/31/1975",176300,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","12/09/1969","06/12/1975",7000417,"John","DATA NOT AVAILABLE","01/01/1970","Principal Investigator","University of Washington","Seattle","981950001",2065434043,"4333 Brooklyn Ave NE","United States","Washington","WA","Sue","LaRue","01/01/1970","Co-Principal Investigator",1112,"Genetic Mechanisms",NA,"Neece","01/01/1970","Co-Principal Investigator","Su-Chen","Li","01/01/1970","Co-Principal Investigator","Brian","Tinsley","01/01/1970","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Mechanism and Control of Gene Expression","03/01/1970","08/31/1976",113400,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","03/17/1970","10/01/1975",7000422,"Austin","Newton","03/01/1970","Principal Investigator","Princeton University","Princeton","085442020",6092583090,"Off. of Research & Proj. Admin.","United States","New Jersey","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"Classification of Scytonema and Calothrix Ag. (Blue-Green Algae)","05/01/1970","04/30/1974",62800,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","03/25/1970","05/01/1972",7000424,"Francis","Drouet","05/01/1970","Principal Investigator","Academy of Natural Sciences Philadelphia","Philadelphia","191031195",2152991065,"1900 Benjamin Franklin Parkway","United States","Pennsylvania","PA",NA,NA,NA,NA,1127,"EVOLUTIONARY PROCESSES CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"Primary Sequence Determination of Human Serum Albumin","01/01/1970","10/31/1976",130000,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","12/17/1969","09/29/1975",7000444,"John","LaRue","01/01/1970","Co-Principal Investigator","SUNY at Buffalo","Amherst","142282567",7166452634,"520 Lee Entrance","United States","New York","NY","Sue","Neece","01/01/1970","Co-Principal Investigator",1144,"Molecular Biophysics",NA,"Li","01/01/1970","Co-Principal Investigator","Su-Chen","McMenamy","01/01/1970","Principal Investigator","Rapier","Tinsley","01/01/1970","Co-Principal Investigator","Brian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"Light Induced Conformational Transitions in Macromolecules","08/10/1970","10/29/1976",79100,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","08/10/1970","12/02/1975",7000474,"John","LaRue","08/10/1970","Co-Principal Investigator","Syracuse University","SYRACUSE","132441200",3154432807,"OFFICE OF SPONSORED PROGRAMS","United States","New York","NY","Sue","Neece","08/10/1970","Co-Principal Investigator",1144,"Molecular Biophysics",NA,"Sanger","08/10/1970","Co-Principal Investigator","Jon","Prins","08/10/1970","Principal Investigator","Willem","Tinsley","08/10/1970","Co-Principal Investigator","Brian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"Development of Human Conceptual Behavior","08/10/1970","11/30/1976",180000,"Standard Grant",8090200,"Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","08/10/1970","08/18/1975",7000479,"Tracy","Kendler","08/10/1970","Co-Principal Investigator","University of California-Santa Barbara","Santa Barbara","931062050",8058934188,"Office of Research","United States","California","CA","Howard","Kendler","08/10/1970","Principal Investigator",1160,"IBN ANIMAL BEHAVIOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"Biological, Developmental and Cytological Studies of SpeciesOf Hypoxylon","09/01/1970","02/28/1975",37700,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","07/20/1970","03/10/1975",7000503,"Jack","Rogers","09/01/1970","Principal Investigator","Washington State University","PULLMAN","991641060",5093359661,"280 Lighty","United States","Washington","WA",NA,NA,NA,NA,1127,"EVOLUTIONARY PROCESSES CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"Role of Endonucleases in Genetic Recombination","06/01/1970","02/28/1977",106000,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","04/24/1970","08/13/1976",7000528,"Marcus","Rhoades","06/01/1970","Principal Investigator","Johns Hopkins University","Baltimore","212182608",4105168668,"3400 N CHARLES ST","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
