"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.1","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.3","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.4","Award.ProgramElement.Text.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.4","Award.ProgramElement.Code.13","Award.ProgramElement.Text.5","Award.ProgramElement.Code.14","Award.ProgramElement.Text.6","Award.ProgramElement.Code.15","Award.ProgramElement.Text.7","Award.ProgramElement.Code.16","Award.ProgramElement.Text.8","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"21",21,"Warm Cumulus Study in Hawaii","12/01/1973","06/30/1975",50000,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","12/11/1973","05/09/1975",7300217,"Tsutomu","Takahashi","12/01/1973","Principal Investigator","UNIVERSITY OF HAWAII",NA,NA,NA,NA,NA,NA,NA,1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"Palynology of Cretaceous Sediments From the North Atlantic","09/01/1973","08/31/1975",25000,"Standard Grant",6040304,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","08/10/1973","08/10/1973",7300218,NA,"DATA NOT AVAILABLE","09/01/1973","Principal Investigator","CUNY Queens College","Flushing",113671575,7189975400,"65 30 Kissena Blvd","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Mixed Layer and Upper Pycnocline Dynamics During Gate","09/11/1973","03/31/1977",261300,"Standard Grant",6020107,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","09/11/1973","10/14/1975",7300219,"John","Van Leer","09/11/1973","Co-Principal Investigator","University of Miami Rosenstiel School of Marine&Atmospheric Sci","KEY BISCAYNE",331491031,3054214089,"4600 RICKENBACKER CSWY","United States","Florida","FL",NA,NA,"Henry","Perkins","09/11/1973","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"High-Pressure Hydrothermal Studies of the Nature and EvolutIon of the Crust-Mantle System of the Earth and TerrestriaL Planets","12/15/1973","06/22/1977",103700,"Continuing grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","12/06/1973","12/22/1975",7300220,"Arthur","Montana","12/15/1973","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Alpine Peridotite-Gabbro Complexes in California and Oregon- Implications For Tectonic Evolution Ofthe Western CordilleRa","06/01/1974","06/30/1978",59800,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","11/27/1973","11/01/1977",7300224,"L. Gordon","Medaris","06/01/1974","Principal Investigator","University of Wisconsin-Madison","MADISON",537151218,6082623822,"21 North Park Street","United States","Wisconsin","WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"Large Scale Atmospheric Circulation","09/01/1973","10/31/1977",65700,"Standard Grant",6020107,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","08/30/1973","02/06/1975",7300227,NA,"DATA NOT AVAILABLE","09/01/1973","Principal Investigator","Princeton University","Princeton",85442020,6092583090,"Off. of Research & Proj. Admin.","United States","New Jersey","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Minerlogical and Chemical Studies on Sediments Obtained By DEep Sea Drilling Project, Legs 15 and 25","09/01/1973","06/30/1978",64500,"Standard Grant",6040304,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","08/10/1973","06/20/1977",7300230,"Laurie","Brown","09/01/1973","Principal Investigator","University of Massachusetts Amherst","Hadley",10359450,4135450698,"Research Administration Building","United States","Massachusetts","MA",1621,"SUBMARINE GEOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"Establishment of Age Points For the Division of the PrecamBrian in the Northern Guayana Shield, Venezuela","09/01/1973","05/31/1977",24000,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","08/16/1973","08/16/1973",7300231,"Patrick","Hurley","09/01/1973","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"Acoustic Emission and Related Properties of Snow Applied to The Determination of Slab Avalanche Initiation","01/01/1900","03/12/1978",146700,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","07/20/1973","09/09/1977",7300233,"John","Montagne","01/01/1900","Principal Investigator","Montana State University","BOZEMAN",597172470,4069942381,"309 MONTANA HALL","United States","Montana","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"A040805000","10/15/1973","09/30/1976",70100,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","10/15/1973","04/01/1976",7300235,"Garniss","Curtis","10/15/1973","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"Numerical Weather Forecasting Method With Variablemesh HorizOntally and Vertically","09/01/1973","02/28/1977",52100,"Standard Grant",6020107,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","08/30/1973","10/09/1975",7300236,"Alister","Macpherson","09/01/1973","Principal Investigator","Lehigh University","Bethlehem",180153005,6107583021,"Alumni Building 27","United States","Pennsylvania","PA",5730,"GLOBAL ATMOSPHERIC RESEARCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
