"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Institution.PhoneNumber","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.Investigator.FirstName.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.ProgramElement.Text.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.ProgramElement.Code.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.5","Award.ProgramElement.Code.9","Award.ProgramElement.Text.6","Award.ProgramElement.Code.10","Award.ProgramElement.Text.7","Award.ProgramElement.Code.11","Award.ProgramElement.Text.8","Award.ProgramElement.Code.12","Award.ProgramElement.Text.9","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"151",151,"Three-Dimensional Structure and Function of Biological Macromolecules","09/01/1971","05/31/1977",80000,"Continuing grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","09/01/1971","04/27/1977",7101301,"Joseph","Kraut","09/01/1971","Principal Investigator","University of California-San Diego","La Jolla",920930621,"Office of Contract & Grant Admin","United States","California","CA",8585344896,1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",152,"The Molecular Basis of Ion Transport Across Phospholipid Membranes","09/01/1971","02/28/1977",100000,"Continuing grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","09/02/1971","07/31/1975",7101304,"George","Eisenman","09/01/1971","Principal Investigator","University of California-Los Angeles","LOS ANGELES",900951406,"10889 Wilshire Boulevard","United States","California","CA",3107940102,1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",153,"Relations Between Structure and Function in Hemoglobins, Myoglobins, and Related Substances","09/01/1971","05/12/1978",156500,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","09/20/1971","11/12/1975",7101312,"Jeffries","Wyman","09/01/1971","Principal Investigator","Instituto Regina Elena","Rome Italy",NA,NA,"Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",154,"Monograph of New World Primates. Volume 2- Cebids","09/15/1971","02/29/1976",45500,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/30/1971","03/17/1975",7101315,"Philip","Hershkovitz","09/15/1971","Principal Investigator","Field Museum of Natural History","CHICAGO",606052827,"1400 S LAKE SHORE DR","United States","Illinois","IL",3126657240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",155,"Comparative Anatomy and Systematics of Woody Saxifragaceae","09/15/1971","08/31/1977",32700,"Continuing grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/15/1971","04/13/1976",7101318,"William","Stern","09/15/1971","Principal Investigator","University of Maryland College Park","COLLEGE PARK",207425141,"3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",3014056269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",156,"Vascular Plants of the Intermountain West","09/15/1971","12/31/1976",113300,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/17/1971","07/31/1973",7101323,"Bernard","Witholt","09/15/1971","Co-Principal Investigator","New York Botanical Garden","Bronx",104585126,"2900 Southern Blvd","United States","New York","NY",7188178840,NA,NA,"Jochen","Kummerow","09/15/1971","Co-Principal Investigator","Hays","09/15/1971","Co-Principal Investigator",NA,"Robert","Clifton","Wilson","09/15/1971","Co-Principal Investigator","Arthur","Cronquist","09/15/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",157,"The Mechanism By Which Ti and Tii Cause Translocation of Mrna Through Ribosomes","09/01/1971","08/31/1977",90000,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","09/03/1971","08/21/1973",7101326,"Boyd","Hardesty","09/01/1971","Principal Investigator","University of Texas at Austin","Austin",787121532,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",5124716424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",158,"Systematics of Cirripedia","10/01/1971","08/31/1975",15000,"Continuing grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/09/1971","04/18/1975",7101329,"William","Newman","10/01/1971","Principal Investigator","University of California-San Diego Scripps Inst of Oceanography","LA JOLLA",920930210,"8602 La Jolla Shores Dr","United States","California","CA",8585341293,1127,"EVOLUTIONARY PROCESSES CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",159,"The Biology and Behavior of Insect Predators","09/15/1971","04/30/1977",48700,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/20/1971","06/22/1976",7101338,"Roger","Akre","09/15/1971","Principal Investigator","Washington State University","PULLMAN",991641060,"280 Lighty","United States","Washington","WA",5093359661,1128,"POP & COMMUNITY ECOL CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",160,"Determination and Differentiation of Embryonic Erythropoiesis in Cell Cultures","09/01/1971","02/28/1978",191400,"Continuing grant",8090100,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","09/03/1971","07/23/1975",7101347,"Vernon","Ingram","09/01/1971","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",6172531000,1111,"DEVELOPMENTAL SYSTEMS CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",161,"The Roles of Social Behavior, Resource Supply, and Vegetation in Habitat Utilization","09/15/1971","03/31/1974",20000,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/15/1971","11/20/1974",7101353,"Douglass","Morse","09/15/1971","Principal Investigator","University of Maryland College Park","COLLEGE PARK",207425141,"3112 LEE BLDG 7809 Regents Drive","United States","Maryland","MD",3014056269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",162,"A Comparison of Three Independently Evolved Ecological Systems","09/15/1971","11/30/1971",25000,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/09/1971","09/09/1971",7101354,"Stuart","Phoenix","09/15/1971","Principal Investigator","University of Texas at Austin","Austin",787121532,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",5124716424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",163,"A Generic Revision of the Shield-Backed Katydids of the World","10/01/1971","09/30/1973",22200,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","10/07/1971","10/07/1971",7101364,"Jean","Renshaw","10/01/1971","Co-Principal Investigator","Academy of Natural Sciences Philadelphia","Philadelphia",191031195,"1900 Benjamin Franklin Parkway","United States","Pennsylvania","PA",2152991065,1127,"EVOLUTIONARY PROCESSES CLUSTER","David","Rentz","10/01/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",164,"Putative Allopatric Introgression Involving Juniperus","10/01/1971","09/30/1974",43200,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/03/1971","04/02/1974",7101367,"Billie","Turner","10/01/1971","Principal Investigator","University of Texas at Austin","Austin",787121532,"101 E. 27th Street, Suite 5.300","United States","Texas","TX",5124716424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",165,"Systematic Studies of the Families Dactyloscopidae and Gobiidae","10/01/1971","09/30/1975",8500,"Continuing grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","10/04/1971","10/04/1971",7101370,"Jeremy","Taylor","10/01/1971","Principal Investigator","Gulf Coast Research Laboratories","Ocean Springs",395647000,NA,"United States","Mississippi","MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",166,"Ion Channels As Biological Control Elements","09/01/1971","12/31/1976",106200,"Standard Grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","09/14/1971","06/25/1976",7101376,"George","Sachs","09/01/1971","Principal Investigator","University of Alabama at Birmingham","Birmingham",352940001,"AB 1170","United States","Alabama","AL",2059345266,1141,"PHYSIOLOG & STRUCTURAL SYS","Richard","Shoemaker","09/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",167,"Collagen Biosynthesis, Secretion and Crosslinking","10/01/1971","05/31/1976",60000,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","09/27/1971","10/05/1973",7101377,"Jochen","DATA NOT AVAILABLE","10/01/1971","Co-Principal Investigator","University of Connecticut Health Center","Farmington",60321956,"263 Farmington Ave.","United States","Connecticut","CT",8606793951,NA,NA,"Walter","Kummerow","10/01/1971","Co-Principal Investigator","Tanttila","10/01/1971","Co-Principal Investigator",NA,"Marvin","W.","Tanzer","10/01/1971","Principal Investigator",NA,"Hess","10/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",168,"The Functional Morphology of Squamate Reptilia","09/15/1971","02/28/1977",79000,"Continuing grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/16/1971","08/13/1975",7101380,NA,"DATA NOT AVAILABLE","09/15/1971","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor",481091274,"3003 South State St. Room 1062","United States","Michigan","MI",7347636438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",169,"Structure and Function of Mitochondrial Membranes","10/01/1971","09/30/1975",25000,"Continuing grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","10/08/1971","10/08/1971",7101382,"Jochen","DATA NOT AVAILABLE","10/01/1971","Principal Investigator","Johns Hopkins University","Baltimore",212182608,"3400 N CHARLES ST","United States","Maryland","MD",4105168668,NA,NA,"W.","DATA NOT AVAILABLE","10/01/1971","Co-Principal Investigator","Kummerow","10/01/1971","Co-Principal Investigator",NA,NA,NA,"Hess","10/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",170,"Metabolic Studies With Marine Microalgae With Special Reference to Photoheterotrophy","10/01/1971","03/31/1977",67600,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","09/28/1971","10/02/1973",7101386,"Jochen","DATA NOT AVAILABLE","10/01/1971","Principal Investigator","University of Miami Rosenstiel School of Marine&Atmospheric Sci","KEY BISCAYNE",331491031,"4600 RICKENBACKER CSWY","United States","Florida","FL",3054214089,NA,NA,"Robert","DATA NOT AVAILABLE","10/01/1971","Co-Principal Investigator","Kummerow","10/01/1971","Co-Principal Investigator",NA,"W.",NA,"Church","10/01/1971","Co-Principal Investigator",NA,"Hess","10/01/1971","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",171,"Function of Sterols in the Metabolism of Saccharomyces Cerevisiae","10/01/1971","12/31/1976",73800,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","09/30/1971","05/21/1976",7101398,"Leo","Parks","10/01/1971","Principal Investigator","Oregon State University","Corvallis",973318507,"OREGON STATE UNIVERSITY","United States","Oregon","OR",5417374933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,"The Role of Lipid Intermediates in the Biosynthesis of Mannan and Other Macro-Molecules","10/01/1971","09/30/1973",17000,"Continuing grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","10/05/1971","10/05/1971",7101400,"Jeremy","Taylor","10/01/1971","Principal Investigator","Johns Hopkins University","Baltimore",212182608,"3400 N CHARLES ST","United States","Maryland","MD",4105168668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",173,"Temporal Control and the Theory of Reinforcement Schedules","10/01/1971","03/31/1977",64400,"Continuing grant",8090200,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","10/05/1971","09/11/1975",7101402,"John E. R.","Staddon","10/01/1971","Principal Investigator","Duke University","Durham",277054010,"2200 W. Main St, Suite 710","United States","North Carolina","NC",9196843030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",174,"Oxygen Photolysis and Recombination Studies of Hemoproteins","10/01/1971","09/30/1977",36000,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","10/18/1971","10/05/1973",7101410,"James","McCray","10/01/1971","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,"Research Services","United States","Pennsylvania","PA",2158987293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,"Enzyme Catalysis","10/01/1971","09/30/1977",40000,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","09/29/1971","10/05/1973",7101415,"Michael","Dunn","10/01/1971","Principal Investigator","University of California-Riverside","RIVERSIDE",925211000,"Office of Research","United States","California","CA",9518275535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",176,"The Topography of Ribosomes","10/01/1971","09/30/1977",85000,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","09/27/1971","09/05/1973",7101424,"Lawrence","Slobin","10/01/1971","Principal Investigator","Cornell University","Ithaca",148502820,"373 Pine Tree Road","United States","New York","NY",6072555014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",177,"Structure-Function and Evolution of Hemocyanins","10/15/1971","02/28/1977",56000,"Standard Grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","10/20/1971","10/20/1971",7101432,"J.","Sullivan","10/15/1971","Principal Investigator","Duke University","Durham",277054010,"2200 W. Main St, Suite 710","United States","North Carolina","NC",9196843030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",178,"Permian Terrestrial Vertebrates","10/15/1971","03/31/1977",15100,"Continuing grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/29/1971","08/05/1975",7101439,"Everett","Olson","10/15/1971","Principal Investigator","University of California-Los Angeles","LOS ANGELES",900951406,"10889 Wilshire Boulevard","United States","California","CA",3107940102,1127,"EVOLUTIONARY PROCESSES CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",179,"Potassium and Manganese Transport Systems As Controlling Elements in the Bacillus Subtilis Cycle of Spore Formation And Germination","10/15/1971","02/28/1977",92000,"Standard Grant",8090100,"Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","11/01/1971","04/29/1974",7101456,"Simon","Silver","10/15/1971","Principal Investigator","Washington University","Saint Louis",631304862,"CAMPUS BOX 1054","United States","Missouri","MO",3147474134,1111,"DEVELOPMENTAL SYSTEMS CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",180,"Interactions of Rare Earth Metal Ions With Proteins","10/01/1971","09/30/1977",94600,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","10/04/1971","09/06/1973",7101457,"Jochen","DATA NOT AVAILABLE","10/01/1971","Co-Principal Investigator","New Mexico State University","Las Cruces",880038002,"Corner of Espina St. & Stewart","United States","New Mexico","NM",5756461590,NA,NA,"Dennis","DATA NOT AVAILABLE","10/01/1971","Co-Principal Investigator","Kummerow","10/01/1971","Co-Principal Investigator",NA,"Edward",NA,"Darnall","10/01/1971","Co-Principal Investigator",NA,"Birnbaum","10/01/1971","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",181,"Electron Transport Systems of the Chemoautotrophic Nitrifying Bacteria","11/01/1971","11/30/1977",70100,"Continuing grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","10/21/1971","03/29/1977",7101463,"Alvin","Nason","11/01/1971","Principal Investigator","Johns Hopkins University","Baltimore",212182608,"3400 N CHARLES ST","United States","Maryland","MD",4105168668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",182,"The Nature of Adaptation","11/01/1971","04/30/1974",40000,"Continuing grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","11/01/1971","11/01/1971",7101480,"Robert","Ricklefs","11/01/1971","Principal Investigator","University of Pennsylvania","Philadelphia",191046205,"Research Services","United States","Pennsylvania","PA",2158987293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",183,"Isolation and Characterization of Aspermatogenic Antigen AndRespective Antibody","01/01/1972","06/30/1976",48000,"Continuing grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","11/10/1971","03/16/1976",7101481,"Seymour","Katsh","01/01/1972","Principal Investigator","University of Colorado at Denver","Aurora",800452570,"MS F428, AMC Bldg 500","United States","Colorado","CO",3037240090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",184,"Studies on the Biochemistry and Physiology of Host-Parasite Relationships During Rickettsial Infection","01/01/1972","06/30/1976",60000,"Standard Grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","11/08/1971","02/24/1976",7101490,"David","Paretsky","01/01/1972","Co-Principal Investigator","University of Kansas Main Campus","Lawrence",660457563,"2385 Irving Hill Road","United States","Kansas","KS",7858643441,NA,NA,"James","Akagi","01/01/1972","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
